date,key_change,taux,x_vers_euro
2023-01-10,USD,1.0723,0.9325748391308403
2023-01-10,JPY,141.92,0.007046223224351748
2023-01-09,USD,1.0696,0.9349289454001495
2023-01-09,JPY,141.35,0.007074637424831978
2023-01-06,USD,1.05,0.9523809523809523
2023-01-06,JPY,141.3,0.007077140835102618
2023-01-05,USD,1.0601,0.9433072351664937
2023-01-05,JPY,140.95,0.007094714437743881
2023-01-04,USD,1.0599,0.9434852344560807
2023-01-04,JPY,138.74,0.00720772668300418
2023-01-03,USD,1.0545,0.948316737790422
2023-01-03,JPY,137.93,0.007250054375407815
2023-01-02,USD,1.0683,0.9360666479453337
2023-01-02,JPY,139.62,0.007162297665090961
2022-12-30,USD,1.0666,0.9375585974123383
2022-12-30,JPY,140.66,0.007109341674960899
2022-12-29,USD,1.0649,0.9390553103577801
2022-12-29,JPY,142.24,0.007030371203599549
2022-12-28,USD,1.064,0.9398496240601504
2022-12-28,JPY,142.21,0.007031854299978904
2022-12-27,USD,1.0624,0.9412650602409638
2022-12-27,JPY,141.68,0.007058159232072275
2022-12-23,USD,1.0622,0.9414422895876482
2022-12-23,JPY,140.86,0.007099247479767144
2022-12-22,USD,1.0633,0.9404683532399135
2022-12-22,JPY,140.42,0.007121492664862556
2022-12-21,USD,1.0636,0.940203083866115
2022-12-21,JPY,140.29,0.007128091809822511
2022-12-20,USD,1.0599,0.9434852344560807
2022-12-20,JPY,140.58,0.0071133873950775355
2022-12-19,USD,1.0598,0.9435742592942064
2022-12-19,JPY,144.65,0.0069132388524023505
2022-12-16,USD,1.0619,0.9417082587814295
2022-12-16,JPY,145.53,0.006871435442864014
2022-12-15,USD,1.0621,0.9415309292910272
2022-12-15,JPY,145.07,0.006893223960846488
2022-12-14,USD,1.0649,0.9390553103577801
2022-12-14,JPY,143.68,0.006959910913140311
2022-12-13,USD,1.0545,0.948316737790422
2022-12-13,JPY,144.85,0.0069036934760096655
2022-12-12,USD,1.0562,0.946790380609733
2022-12-12,JPY,144.86,0.006903216899074968
2022-12-09,USD,1.0559,0.947059380623165
2022-12-09,JPY,143.3,0.006978367062107466
2022-12-08,USD,1.0519,0.950660709192889
2022-12-08,JPY,143.75,0.006956521739130435
2022-12-07,USD,1.0529,0.9497578117580018
2022-12-07,JPY,144.44,0.006923289947382997
2022-12-06,USD,1.0516,0.9509319132750095
2022-12-06,JPY,143.33,0.0069769064396846435
2022-12-05,USD,1.0587,0.9445546424860678
2022-12-05,JPY,143.07,0.0069895855175788075
2022-12-02,USD,1.0538,0.9489466691971911
2022-12-02,JPY,141.32,0.0070761392584206065
2022-12-01,USD,1.0454,0.9565716472163764
2022-12-01,JPY,142.48,0.007018528916339136
2022-11-30,USD,1.0376,0.9637625289128758
2022-11-30,JPY,144.28,0.006930967563071805
2022-11-29,USD,1.0366,0.9646922631680495
2022-11-29,JPY,143.36,0.006975446428571428
2022-11-28,USD,1.0463,0.9557488292076842
2022-11-28,JPY,144.9,0.006901311249137336
2022-11-25,USD,1.0375,0.9638554216867469
2022-11-25,JPY,144.62,0.006914672935970128
2022-11-24,USD,1.0413,0.9603380389897245
2022-11-24,JPY,143.9,0.006949270326615705
2022-11-23,USD,1.0325,0.9685230024213075
2022-11-23,JPY,145.75,0.00686106346483705
2022-11-22,USD,1.0274,0.9733307377846991
2022-11-22,JPY,145.2,0.006887052341597796
2022-11-21,USD,1.0246,0.9759906304899474
2022-11-21,JPY,145.33,0.006880891763572559
2022-11-18,USD,1.0366,0.9646922631680495
2022-11-18,JPY,145.12,0.006890848952590959
2022-11-17,USD,1.0319,0.9690861517588913
2022-11-17,JPY,144.8,0.006906077348066298
2022-11-16,USD,1.0412,0.9604302727621975
2022-11-16,JPY,145.29,0.006882786151834263
2022-11-15,USD,1.0404,0.9611687812379854
2022-11-15,JPY,144.84,0.006904170118751726
2022-11-14,USD,1.0319,0.9690861517588913
2022-11-14,JPY,144.86,0.006903216899074968
2022-11-11,USD,1.0308,0.9701202949165697
2022-11-11,JPY,143.89,0.006949753283758427
2022-11-10,USD,0.9954,1.004621257785815
2022-11-10,JPY,145.47,0.00687426960885406
2022-11-09,USD,1.0039,0.9961151509114453
2022-11-09,JPY,146.82,0.006811061163329247
2022-11-08,USD,0.9996,1.0004001600640255
2022-11-08,JPY,146.25,0.006837606837606838
2022-11-07,USD,0.9993,1.0007004903432404
2022-11-07,JPY,146.18,0.006840881105486386
2022-11-04,USD,0.9872,1.012965964343598
2022-11-04,JPY,145.19,0.00688752668916592
